slot,part_id,label,layer,palette,npc_only
skin,pale,浅粉,0,#f0d5c4,0
skin,warm_1,暖白,0,#e8b896,0
skin,warm_2,麦色,0,#d4956a,0
skin,tan,褐色,0,#b8744a,0
skin,deep,深褐,0,#6b3d2a,0
hair_style,short,短发,4,,0
hair_style,short_bangs,齐刘海,4,,0
hair_style,bob,波波头,4,,0
hair_style,long,长发,4,,0
hair_style,bun,发髻,4,,0
hair_style,messy,乱发,4,,0
hair_style,bald,光头,4,,0
hair_color,ink,墨黑,-1,#2a2420,0
hair_color,brown,栗棕,-1,#5c3a22,0
hair_color,auburn,赤褐,-1,#8b3a2a,0
hair_color,gold,金麦,-1,#c9a227,0
hair_color,silver,银白,-1,#c8c0b4,0
hair_color,green,苔绿,-1,#3d6b45,0
eyes,round,圆眼,3,,0
eyes,narrow,细眼,3,,0
eyes,bright,亮眼,3,,0
top,work_shirt,短打,2,,0
top,vest,马甲,2,,0
top,robe,长袍,2,,0
top,apron,围裙,2,,0
top,coat,外套,2,,0
top,tunic,罩衫,2,,0
bottom,trousers,长裤,1,,0
bottom,skirt,裙,1,,0
bottom,shorts,短裤,1,,0
bottom,wrap,缠腰,1,,0
accessory,none,无,5,,0
accessory,hat,斗笠,5,,0
accessory,scarf,围巾,5,,0
accessory,glasses,眼镜,5,,0
accessory,flower,簪花,5,,0
accessory,guard_helm,铁盔,5,,1
