建筑名称,类别,木材需求,镇币需求,工时需求,来源,效果值,荒废规则,说明,占地宽,占地高,允许区域,场所键,效果键,办理地点
住宅,建造类,40,60,80,内置,绑定4人；睡眠精力恢复×1.3,无,认筹制约 2-3 个全职 agent 一周工程量,2,2,住宅区,house,house_bind,公所
仓库,建造类,50,80,100,内置,绑定后存取食物/木材换入库凭证；容量见《动作前置表》仓库容量上限,无,加压基调下 15% 日损耗使仓库成为早期刚需,2,2,市集,warehouse,warehouse,公所
酒馆,建造类,70,100,120,内置,占地内对话心情收益×2,无,心情三档的核心社交设施,2,2,市集,tavern,talk_mood_mul,
公告栏,建造类,20,30,40,内置,解锁「张贴公告」与 bulletin_board 感知键,无,最便宜公共设施，治理入口,1,2,公所,bulletin,unlock_bulletin,
议事厅,建造类,60,90,100,内置,解锁「发起公投」与 plebiscites 感知键,无,,2,2,公所,hall,unlock_plebiscite,
田圃扩建,建造类,50,70,80,内置,全镇农田劳作产出+10%/座；多座封顶见《动作前置表》田圃扩建加成上限,无,占地仍可耕作,1,1,农田,field_upgrade,farm_labor_mul,
水井扩建,建造类,40,60,70,内置,落成解锁《世界参数表》开垦解锁tile数个密林 tile,无,密林开垦前置,1,1,水源,well_upgrade,unlock_forest_tiles,
道路,改造类,2,3,3,内置,按 tile 落成；通行耗时按《世界参数表》道路每tile耗时计,无,单 tile 造价低、全镇受益，认筹制正循环,1,1,空地;住宅区,road,road,
稻田,改造类,0,30,40,内置,属主资产；稻田劳作系数见《岗位产出表》,连续3日无劳作荒废（见《世界参数表》稻田荒废阈值）,私人范式；木材可按折算率抵充镇币,1,1,空地,paddy,owner_paddy,
荒地开垦,改造类,0,15,30,内置,农田区域 1 项目=1 tile；落成归发起人属主资产,同稻田荒废阈值,私人范式,1,1,农田,farm_plot,owner_farm_plot,
密林开垦,改造类,0,20,40,内置,林地区域 1 项目=1 tile；仅水井扩建解锁 tile；副产物木材按《世界参数表》开垦木材副产物率,同稻田荒废阈值,私人范式,1,1,林地,forest_plot,owner_forest_plot,
