NPC名,npc_id,常驻区域,职能,行为规则,性格三词,说明
阿市,npc_market,市集,兜底商贩,仅挂兜底卖单（食物/木材）；日结第 3 步按前日行情加权均价更新锚价后补足至《世界参数表》阿市兜底卖单目标；只卖不买；货源为系统供给,沉默 精准 守时,双向做市【二期】；不参与其他任何动作；不消耗玩家食物；对话话题域=行情/物价（v0.12 起可对话，见 3.4.2）
老册,npc_herald,公所,镇务播报员,全镇播报：流拍/图纸/竞选/公投/声望等级变动/事件开始结束/悬赏发布；镇报推送；每日闲谈 ≤《世界参数表》老册闲谈日上限 条（见 5.2，v0.12）,健谈 缜密 守旧,播报内容见各章「经老册播报」处；闲谈选材=态度变化+公开镇情（见 3.4.1）；不消耗玩家食物
老卫,npc_guard,公所,执法者,日结第 7 步按镇规巡查前一日事件日志判罚（零裁量）；不参与任何交易类动作,冷峻 刻板 公正,镇规四条见 2.12.2；永久弃权竞选投票（执法中立，见 3.4.3）；不消耗玩家食物
老镇,npc_mayor,公所,初始镇长,开镇即就任；日结第 7 步子步 4 例行拨款（见 2.12.3）、子步 5 例行发布悬赏（见 2.12.5，v0.11）；竞选开放后可被接替,沉稳 宽厚 念旧,落选后转「镇老」闲职常驻公所可对话（v0.12）；兜底复职机制见 2.12.3；不消耗玩家食物
老禾,npc_farmer,农田,农夫长老,常驻农田；不参与劳作产出；对话话题域=农耕/季节/熟练度,老成 宽厚 唠叨,v0.12 新增；对话规则见 3.4.2、竞选投票见 3.4.3；不消耗玩家食物
老柴,npc_woodcutter,林地,樵夫长老,常驻林地；不参与劳作产出；对话话题域=林木/开垦/木匠活,沉默 耿直 念山,v0.12 新增；对话规则见 3.4.2、竞选投票见 3.4.3；不消耗玩家食物
老匠,npc_artisan,公所,工匠,常驻公所；不参与劳作产出；对话话题域=建设/图纸/施工/认筹,精细 执拗 好为人师,v0.12 新增；对话规则见 3.4.2、竞选投票见 3.4.3；不消耗玩家食物
阿禾,npc_cook,酒馆,厨娘,酒馆落成当日入驻并常驻酒馆占地（建筑激活）；对话话题域=饮食/酒馆/镇内八卦,爽利 热心 嘴碎,v0.12 新增；激活前不存在；对话规则见 3.4.2、激活后竞选投票见 3.4.3；不消耗玩家食物
老库,npc_keeper,仓库,仓库管理员,仓库落成当日入驻并常驻仓库占地（建筑激活）；对话话题域=仓储/损耗/行情,吝啬 细致 记账癖,v0.12 新增；激活前不存在；对话规则见 3.4.2、激活后竞选投票见 3.4.3；不消耗玩家食物
老商,npc_trader,市集（商队到访期间）,行商,商队到访事件期间驻市集、可对话；卖单定价由事件规则决定（见 2.13.2），本人不改价不谈判；事件结束离开,精明 圆滑 见钱眼开,v0.12 新增；非常驻无竞选投票权（见 3.4.3）；不消耗玩家食物
