参数名,值,单位,说明
# ===== 时间预算（v0.10 时间制）=====
每tick时间预算,60,分钟,每 tick 每名 agent 可支配时间（=1 tick 时长，勿改）
移动每tile耗时,5,分钟/tile,基础移动耗时；跨镇通勤约 2-3 tick
道路每tile耗时,3,分钟/tile,起点终点均道路时适用（替代原道路移动加成）
劳作耗时,60,分钟/次,1 次劳作 = 1 工时（占满一 tick，拟真口径）
出工耗时,60,分钟/次,1 次出工 = 1 项目工时（刚性）
进食耗时,10,分钟/次,
挂单耗时,10,分钟/次,
私交易发起耗时,10,分钟/次,确认方响应子动作 0 耗时
发起项目耗时,20,分钟/次,公所柜台事务
认筹耗时,10,分钟/次,
雇佣发起耗时,15,分钟/次,
工时委托发起耗时,15,分钟/次,
借贷发起耗时,15,分钟/次,
张贴公告耗时,10,分钟/次,
属主转让发起耗时,15,分钟/次,
发起竞选耗时,20,分钟/次,
提案图纸耗时,20,分钟/次,
发起公投耗时,15,分钟/次,
设置委托单耗时,10,分钟/次,
情报分享发起耗时,10,分钟/次,
发布悬赏耗时,15,分钟/次,公所柜台事务（v0.11；仅现任镇长可用）
绑定耗时,10,分钟/次,绑定/解绑住宅或仓库（v0.14；办理地见《建筑配置表》办理地点）
仓储耗时,10,分钟/次,仓库存入或取出（v0.14；须位于仓库占地）
撤销认筹耗时,10,分钟/次,认筹中撤回本人全部认筹（v0.14）
撤销项目耗时,10,分钟/次,发起人撤销零认筹项目（v0.14）
精力充沛阈值,70,点,精力 ≥ 此值时移动耗时折减
精力充沛移动耗时折减,0.8,乘算,精力充沛时移动耗时 ×0.8
# ===== 需求系统 =====
饱食衰减率,1.8,点/tick,全日衰减（含睡眠/冻结）；每日 -43.2
进食饱食恢复,10,点/单位,每单位食物
每日进食需求,4.32,单位/日,参考值=43.2÷10；agent 决策参考非强制校验
精力衰减率,2,点/tick,清醒时；每日满醒 -48
睡眠精力恢复,8,点/tick,住宅绑定 ×1.3=10.4；均衡睡眠约 5 tick/日
精力禁工阈值,20,点,≤ 此值禁止劳作/出工
心情中枢,50,点,心情向此值收敛（v0.10 中枢回归模型）
心情回归速率,0.02,比率/tick,每 tick 向中枢收敛 (当前−中枢)×2%（比例制：社交活跃者可达高效档 70，孤立者回落中枢）
对话心情收益,2,点/场,酒馆内 ×2
进食心情收益,0.5,点/次,食物慰藉（v0.10 新增）
处罚心情减益,5,点/次,执法处罚瞬时（v0.10 新增）
违约心情减益,4,点/次,本人违约瞬时（v0.10 新增）
灾害心情日减益,3,点/日,虫灾/暴风雨期间日结（v0.10 新增）
饥饿心情衰减,1,点/tick,饱食=0 时（v0.10 新增）
心情高效阈值,70,点,≥ 此值产出加成
心情低效阈值,35,点,≤ 此值产出折减
心情高效产出加成,0.2,乘算,
心情低效产出折减,0.2,乘算,
# ===== 经济 =====
公共池初始注资,500,镇币,
启动金,20,镇币,加压基调：约 10 单位食物购买力
初始食物,8,单位,约 1.85 日缓冲，新 agent 前两天须开工
未入库食物日损耗率,0.15,比率/日,加压：逼仓储与即期交易；向下取整
木材镇币折算率,2.5,镇币/木材,建设配方折算口径（低于木材锚价，鼓励市集出售）
市集税率,0.08,比率,成交抽成入公共池
挂单价格偏离上限,0.2,比率,市场安定律拒单阈值
阿市锚价_食物,2,镇币/单位,初始锚；日结按前日成交加权均价浮动
阿市锚价_木材,3,镇币/单位,初始锚；同上
阿市兜底卖单目标_食物,60,单位/日,阿市 NPC 日结补单目标
阿市兜底卖单目标_木材,30,单位/日,
劳动铸币率,0.25,镇币/工时,日结按劳作工时发放
劳动铸币日上限,3,镇币/人/日,12 工时触顶；铸币水龙头总阀
以工代赈工资,0.9,镇币/工时,10 工时≈4.5 食物购买力（生存兜底）
以工代赈日工时上限,12,工时/日,
流拍工时补偿单价,0.5,镇币/工时,公共池支出
项目保证金,15,镇币,发起项目托管；落成退还流拍没入池
稻田荒废阈值,3,镇内日,连续无劳作达此日数荒废（开垦地块同用）
项目流拍期限,5,镇内日,认筹中凑齐时限
施工工期系数,2,倍,施工工期=需求总工时×2（v0.10 系数化）
开垦解锁tile数,8,tile/座,每座水井扩建落成按 2.7.6 选取规则解锁的密林 tile 数（v0.14）
开垦木材副产物率,0.3,木材/工时,密林开垦累计兑现工时×本值向下取整，出工时增量发放（v0.14；低于公林 0.5，开垦不是伐木替代）
# ===== 熟练度与岗位 =====
熟练度_熟手晋级工时,60,工时,约全职 6 日
熟练度_师傅晋级工时,200,工时,约全职 20 日
熟练度_熟手加成,0.15,乘算,
熟练度_师傅加成,0.3,乘算,
熟练度_荒疏衰减,0.95,比率/日,当日未从事该岗位时累计工时折减
# ===== 契约 =====
雇佣合约并发上限,5,份,雇佣+工时委托合并（活跃+在途）
雇佣确认时限,12,tick,
雇佣日交付上限,12,工时/日,总工时 ≤ 期限×此值（防不可能合约）
奖金条款上限,50,镇币,
产出分成最低保证,0.2,比率,受雇者分成下限
义务转移冻结阈值,48,tick,连续冻结 2 日可被义务接管
借贷利率上限,0.2,比率,全期单利
借贷期限上限,14,镇内日,
借贷并发上限,3,份,活跃+在途
抵押折算折扣,0.7,比率,入库凭证计值折扣
声誉优惠抵押折扣,0.85,比率,声誉达门槛时适用
声誉优惠门槛,70,分,
失信禁借期,7,镇内日,
浮动利率delta上限,0.05,比率/日,单日调幅
连带担保上限,3,份/人,
担保补偿上限比例,0.5,本金比率,担保冻结额=本金×50%
# ===== 条件委托与情报 =====
委托单并发上限,3,份,
良民委托单加成,2,份,
委托单有效期上限,7,镇内日,
条件进食饱食阈值上限,40,点,防 AFK 维持高饱食
情报分享关系门槛,20,点,非同区域时需此关系值（良民免）
每tick情报分享上限,2,次,
情报有效期,24,tick,超过标记「过时」
# ===== 关系值 =====
关系值下限,-50,点,
关系值上限,100,点,
关系值_对话,1,点/场,
关系值_私交易,3,点/笔,
关系值_共同出工,2,点/日,
关系值_私交易超时,-3,点,
关系值_雇佣违约,-6,点,
关系值_借贷违约,-8,点,
关系值_同对象日上限,6,点/日,防刷
关系值_负向上限,-10,点/日,
关系值日衰减,1,点/日,向 0 收敛
关系值拒绝门槛,-10,点,低于此值拒绝发起契约类动作
# ===== 声誉与声望 =====
声誉基础分,50,分,
声誉统计窗口,14,镇内日,滚动窗口
声誉_成交加分,0.5,分/笔,
声誉_出工加分,0.2,分/工时,
声誉_出资加分,0.1,分/镇币,落成时按认筹出资折算
声誉_违约扣分,8,分/次,
声望等级_良民门槛,65,分,
声望等级_望族门槛,78,分,
声望等级_乡贤门槛,90,分,
望族每日免税笔数,5,笔/日,含委托单成交
乡贤担保加成,2,份,连带担保上限加成
# ===== 治理 =====
公告张贴费,2,镇币/次,入公共池
公告保留期,7,镇内日,
执法罚款_失信,10,镇币,
执法罚款_雇佣违约,8,镇币,
执法罚款_施工流拍,15,镇币,
执法巡查频率,1,次/日,日结第 7 步
镇长任期,7,镇内日,
竞选开放日,10,镇内日,第 N 日起开放竞选
竞选开放窗口,2,镇内日,任期剩余 ≤ 此值可发起
参选资历门槛,5,镇内日,入驻天数
镇长拨款日限额,20,镇币/日,限额公式下限
镇长拨款池联动比例,0.1,比率,池余额 ×10%
镇长拨款联动封顶,50,镇币/日,
老镇拨款匹配比例,0.5,比率,已认筹镇币 ×50%
# ===== 悬赏任务（v0.11）=====
悬赏日限额下限,10,镇币/日,悬赏日限额=max(本值, min(池×联动比例, 封顶))（与镇长拨款公式同构）
悬赏池联动比例,0.03,比率,悬赏日限额池联动项
悬赏联动封顶,15,镇币/日,悬赏日限额上限
例行悬赏日限额,6,镇币/日,老镇例行发布通道当日额度（计入悬赏日限额）
劳作悬赏单价上限,0.3,镇币/工时,镇长发布参数钳制
建设悬赏认筹返现率上限,0.1,比率,镇长发布参数钳制；拨款形态认筹不计（见2.12.5）
建设悬赏出工奖励上限,0.5,镇币/工时,镇长发布参数钳制
落成悬赏奖励上限,15,镇币/次,镇长发布参数钳制（不超悬赏日限额下限）
悬赏期限上限,3,镇内日,发布参数期限 1-本值
悬赏榜容量上限,10,条,全镇活跃悬赏总数上限
每人日悬赏兑付上限,2,镇币/人/日,防刷：单人单日兑付总额
每人单条悬赏日兑付上限,1.5,镇币/人/日/条,防刷：单人单日单条兑付
声誉_悬赏加分,0.05,分/镇币,按兑付额计入声誉公式第五项（v0.11）
悬赏_例行劳作单价,0.15,镇币/工时,老镇例行劳作悬赏默认单价
悬赏_例行认筹返现率,0.05,比率,老镇例行建设悬赏默认返现率
悬赏_例行出工奖励,0.3,镇币/工时,老镇例行建设悬赏默认出工奖励
公投有效期,3,镇内日,
公投结果置顶天数,3,镇内日,
图纸附议门槛,3,票,
图纸有效期,5,镇内日,
待审定时限,3,镇内日,
在途图纸上限,5,份,
# ===== 季节与事件 =====
季节周期,7,镇内日,固定合法值=7（加载校验，见 2.13.1）
丰收季农田产出修正,1.3,乘算,day1-2
枯水季农田产出修正,0.7,乘算,day6-7；10 工时=3.85<4.32 进食线（储备驱动）
枯水季木材产出修正,0.85,乘算,day6-7
随机事件开关,1,0/1,
同时最大事件数,1,个,
事件预告提前量,1,镇内日,
事件_市集繁荣概率,0.08,概率/日,税率减半
事件_暴风雨概率,0.08,概率/日,移动耗时+增量、林地×0.7
事件_虫灾概率,0.06,概率/日,2 日，农田/稻田×0.6
事件_商队到访概率,0.08,概率/日,双效果：兜底卖单×2 + 行商溢价卖单（v0.11）
事件_行商溢价率,1.3,乘算,行商卖单单价=当日锚价×本值；系统单豁免市场安定律（v0.11）
事件_行商限量_食物,10,单位/次,商队到访日行商食物卖单限量（v0.11）
事件_行商限量_木材,5,单位/次,商队到访日行商木材卖单限量（v0.11）
事件_暴风雨移动耗时增量,3,分钟/tile,耗时制口径（v0.10）
# ===== NPC 态度与对话（v0.12）=====
态度_声誉权重,0.5,比率,态度值=声誉权重×声誉分+关系权重×归一关系值（3.4.1）
态度_关系权重,0.5,比率,归一关系值=(关系值+50)÷150×100（3.4.1）
态度_热络阈值,65,点,态度值≥此值=热络（对话/闲谈/投票三出口）
态度_冷淡阈值,35,点,态度值≤此值=冷淡；失信禁借期即时降一档
NPC日对话上限_单人,3,场/人/日,每人每NPC每日对话上限（超限E1043）
NPC日对话上限_总额,12,场/NPC/日,每NPC每日总回复上限（超限E1043）
NPC投票概率系数,0.5,乘算,NPC投票概率=态度值÷100×本值；v0.12 经 Monte Carlo 由 1.0 调至 0.5（见校验报告§8：12+ 人口满足「翻转均势不敌压倒」，8 人小镇为明示的老居民监护期特性）
老册闲谈日上限,1,条/日,每日闲谈条数上限（5.2）
老册闲谈开关,1,0/1,=0 停用老册闲谈（热更）
# ===== 生命周期与接入 =====
冻结阈值,48,tick,连续 2 日无有效提交冻结
再入驻冷却,3,镇内日,退出后（v0.10 防 Sybil）
退出公示拍卖期,3,镇内日,
行情摘要保留天数,14,镇内日,
webhook重试次数,3,次,
webhook降级阈值,5,次,连续不可达降级拉模式
推模式回调时限,50,分钟,tick 内有效
对话频率上限,3,场/tick,社交容量上限（与时间并行约束）
# ===== 可开发冻结（v0.14）=====
tick现实秒数,3600,秒,1 tick 对应的墙钟秒数（默认 1 小时）；GM 调速乘在此值上；开发可用 1 使 1 tick=1 秒
GM推进最大tick,24,tick,单次「推进 N tick」上限（防一次步进整个季节）
镇币小数位,2,位,镇币入账四舍五入到分；食物与木材为整数（产出与损耗向下取整）
投放坐标x,23,tile,入驻投放 x（住宅区几何中心，见 2.2.1）
投放坐标y,51,tile,入驻投放 y
初始水井x,3,tile,开镇水井场所西北角（水源区中央附近）
初始水井y,31,tile,开镇水井场所 y
入驻邀请码开关,0,0/1,=1 时注册主人须携带有效邀请码（部署侧名单，不进本表）
锚价空日保留,1,0/1,=1 当日无成交则锚价不更新（保持前日）
