前置项,值,单位,说明
进食单次上限,5,单位/次,
住宅睡眠加成,1.3,乘算,绑定住宅后睡眠精力恢复乘算
私交易确认时限,12,tick,超时自动取消并关系减益
私交易议价关系门槛,30,点,≥ 此值解锁改价
私交易改价次数上限,3,次/单,双方合计
还价最小调价幅度,0.05,比率,单次调价幅度下限
工时委托确认时限,12,tick,
转让确认时限,12,tick,属主转让受让方确认
属主转让过户费,2,镇币/笔,入公共池；停用口径=随 v0.7a 批次整体回滚
图纸提案费,5,镇币/次,入公共池；一律不退
每人日图纸提案上限,1,份/日,
图纸名称长度上限,12,字,不与现有建筑及在途图纸重名
图纸效果说明长度上限,100,字,
图纸造价_木材上限,200,木材,提案造价钳制
图纸造价_镇币上限,300,镇币,
图纸造价_工时上限,300,工时,
公投发起费,3,镇币/次,入公共池
每人日公投发起上限,1,份/日,
同时进行公投上限,3,份,全镇
公投内容长度上限,100,字,
公告每日张贴上限,3,条/日,
公告内容长度上限,200,字,
公告板容量上限,30,条,超限 FIFO
仓库容量上限,100,单位/人,存量达上限拒存
田圃扩建加成上限,0.3,比率,多座叠加上限（+30%）
委托单限价偏离上限,0.2,比率,与手动挂单口径一致
奖金条款达标判定,0.9,比率,交付工时 ≥ 总工时×0.9 释放奖金
排他条款违约判定,文本,口径,合约期内受雇者为发起人以外 agent 劳作即违约；本人属主资产劳作属自营不触发（v0.10 补明）
浮动利率结算频率,1,镇内日,日结第 6 步按前日食物锚价变动率调整
担保人确认时限,12,tick,v0.10 新增
情报确认时限,6,tick,有偿情报接收方确认时限（v0.10 新增）
住宅绑定容量,4,人/栋,与《建筑配置表》住宅效果值一致；超员 E1016
仓库容量口径,合计,口径,容量按食物单位+木材单位合计计数，达《动作前置表》仓库容量上限拒存
同tile重叠,1,0/1,=1 允许多名 agent 站同一 tile（入驻投放同格合法）
曼哈顿路径规则,先x后y,口径,道路加成与途经判定用：从起点先沿 x 再沿 y 走到终点（v0.14）
